272,351,884,419
1292,2919,1564,2970
1224,1689,1632,1753
272,728,816,801
272,554,952,615
272,666,884,737
612,1889,816,1930
272,646,748,692
1632,1296,2040,1378
952,1226,1292,1297
1360,689,2108,742
1020,903,1224,967
340,2896,680,2947
952,1543,1972,1583
204,1995,680,2044
1972,1845,2108,1885
340,1447,748,1517
1360,600,2108,658
816,2169,1156,2204
204,2066,612,2109
408,2554,1564,2610
816,2953,1156,3013
1360,200,2040,270
1360,504,2040,554
204,1923,544,1978
272,956,884,992
204,1849,544,1898
204,2298,1020,2352
204,2928,612,2972
204,2784,1836,2832
1360,412,2040,480
408,2135,1156,2175
204,1688,952,1756
1224,2975,1904,3024
952,1361,1224,1410
272,168,1020,263
204,2878,340,2918
1360,290,1972,345
204,1792,544,1838
952,1444,1224,1484
1360,358,1904,408
1836,132,2108,187
952,1925,1428,1975
272,1363,748,1447
2108,3079,2244,3151
1904,1946,2108,1998
952,1819,1564,1893
1904,1781,2108,1821
1700,1365,1972,1404
272,1482,680,1554
476,2625,1428,2718
952,1773,1564,1827
204,2979,544,3023
952,1321,1224,1370
272,1283,748,1362
272,2157,612,2192
204,2366,1020,2406
1564,1443,1972,1501
272,1199,748,1291
