44,2286,704,2341
88,340,572,381
88,407,528,448
836,796,924,827
352,1977,704,2065
88,787,528,824
88,760,220,793
88,1839,748,1891
1056,349,1496,405
88,443,396,491
1452,1906,1584,1942
1100,566,1496,608
1012,918,1584,969
440,2450,924,2483
1496,1200,1628,1233
1144,471,1452,527
44,164,924,205
88,1293,924,1326
1232,1157,1628,1194
1188,1078,1408,1112
1012,1217,1100,1246
1320,675,1584,715
88,825,572,860
44,2429,616,2487
836,1091,924,1121
88,1089,396,1123
1452,1862,1584,1899
132,1708,352,1741
1232,1187,1408,1220
88,2218,1496,2250
88,2162,220,2186
88,296,352,334
484,542,924,579
1012,841,1584,886
44,238,352,270
396,1445,484,1471
88,604,748,639
1012,254,1364,290
968,1158,1100,1190
352,216,440,251
1100,1682,1496,1719
968,740,1408,777
1056,2435,1496,2475
968,1835,1232,1893
660,1524,748,1552
1056,108,1540,144
968,699,1540,743
968,1901,1144,1942
308,1021,704,1062
704,20,968,72
968,655,1320,688
968,1743,1100,1771
308,2466,440,2496
308,692,704,725
1100,296,1496,337
1496,1221,1584,1253
968,1794,1232,1833
1496,1742,1584,1771
308,2059,704,2090
264,789,528,825
220,764,968,803
968,1775,1056,1806
88,2248,176,2271
44,1135,484,1172
1144,420,1452,457
1188,2316,1452,2390
44,2078,220,2118
1012,980,1144,1016
1144,162,1408,231
792,1135,968,1173
88,2431,308,2458
352,2266,660,2297
1188,2274,1452,2319
1452,1805,1584,1841
1056,999,1188,1038
220,1521,352,1549
308,1622,396,1673
44,1985,264,2029
44,95,132,159
44,2105,748,2147
88,2022,220,2056
176,538,352,571
968,1192,1100,1225
88,1494,176,1527
88,1813,748,1859
