595,257,757,289
460,220,784,251
460,370,1217,398
460,402,676,433
54,671,243,696
460,550,866,577
460,253,622,276
460,424,1082,461
0,155,81,190
460,199,676,220
243,690,378,721
920,563,1245,598
460,278,595,301
460,346,649,377
460,491,541,518
460,319,784,342
0,97,1001,142
487,164,866,199
0,957,514,1009
460,570,676,600
595,133,1136,167
54,696,243,716
460,301,541,322
622,455,893,478
0,882,1353,939
243,707,324,721
270,51,351,81
0,811,1353,869
243,758,433,821
0,779,135,814
27,766,81,792
622,482,1190,520
947,148,1353,190
920,311,1272,335
460,507,676,539
