947,216,1129,254
145,1795,801,1824
837,722,1238,780
582,63,801,111
837,781,983,805
910,417,1129,449
1056,958,1238,978
801,1380,1019,1410
327,559,582,588
145,1621,1165,1652
874,467,1165,504
801,1408,983,1452
327,1531,582,1551
801,986,947,1011
801,662,1238,693
1129,1432,1238,1458
145,1383,655,1424
801,932,1238,953
291,1559,655,1588
837,139,1202,164
437,455,764,479
874,315,1202,357
145,633,254,662
182,633,254,653
218,1367,619,1391
801,1355,947,1382
145,340,582,375
801,514,1202,554
145,500,655,528
1129,1394,1238,1419
145,1579,291,1600
145,279,437,328
145,373,509,407
801,958,947,980
947,1667,1129,1692
801,558,1238,584
109,1669,619,1704
145,277,254,303
145,395,364,429
145,975,655,1000
218,1074,291,1100
728,1693,801,1720
837,249,1238,271
145,658,509,678
509,645,801,677
182,445,364,471
364,1645,437,1662
109,174,728,201
947,1717,1165,1761
947,827,1092,854
145,683,509,706
692,636,764,660
145,1460,619,1531
1165,1335,1238,1361
145,1702,582,1726
837,1254,1165,1279
910,289,1165,317
1129,1353,1238,1374
182,1331,291,1355
874,1766,1202,1800
254,638,509,662
145,1536,327,1561
145,1620,218,1637
874,358,1165,386
109,218,437,253
1129,986,1238,1015
109,143,655,175
291,792,619,817
